brand,model,year,price,city,engine
Honda CBR 600,,2008,3 300,"",600,https://www.olx.ua/d/uk/obyavlenie/honda-cbr-600-srochno-IDEnSzG.html
Suzuki GSXR 750 2005,,2005,4 750,"",750,https://www.olx.ua/d/obyavlenie/suzuki-gsx-r-750-2005-IDL8rH3.html
Suzuki,GSXR750,2005,4 750 $,Компаніївка,750,https://auto.ria.com/uk/auto_suzuki_gsx_r_750_29426335.html
Kawasaki ZX6R Ninja 636,GSXR750,,3 999,"",636,https://www.olx.ua/d/obyavlenie/kawasaki-zx6r-ninja-636-IDITlSv.html
Suzuki,SV650S,2006,3 350 $,Київ,650,https://auto.ria.com/uk/auto_suzuki_sv_650s_28785079.html
Suzuki,SV650SABS,2008,4 200 $,Київ,650,https://auto.ria.com/uk/auto_suzuki_sv_650s_27556577.html
Yamaha,FZ6FazerS,2004,4 299 $,Київ,600,https://auto.ria.com/uk/auto_yamaha_fz6_fazer_26846927.html
Yamaha,FZ6Fazer,2005,4 399 $,Київ,600,https://auto.ria.com/uk/auto_yamaha_fz6_fazer_28989131.html
Yamaha,YZFR6,2003,4 400 $,Біла,600,https://auto.ria.com/uk/auto_yamaha_yzf_r6_27999055.html
Honda cbr 600 rr,YZFR6,2006,4 700,"",600,https://www.olx.ua/d/obyavlenie/honda-cbr-600-rr-IDL8SKS.html
Kawasaki,EX650ex6f,2011,5 200 $,Макарів,650,https://auto.ria.com/uk/auto_kawasaki_ex-650_29349187.html
Yamaha Fazer fz6s2,EX650ex6f,2008,4 300,"",,https://www.olx.ua/d/obyavlenie/yamaha-fazer-fz6s2-och-horoshee-sostoyanie-IDLaCk7.html
Kawasaki zx 636 r,EX650ex6f,,5 000,"",636,https://www.olx.ua/d/obyavlenie/kawasaki-zx-636-r-IDJnIHg.html
Honda cbr 600 f4i,EX650ex6f,,3 800,"",600,https://www.olx.ua/d/obyavlenie/prodam-honda-cbr-600-f4i-IDL5Gf1.html
yamaha fz6s,EX650ex6f,2012,5 000,"",,https://www.olx.ua/d/obyavlenie/prodam-yamaha-fz6s-IDpf5do.html
Honda,CBR600RR,2004,5 200 $,Київ,600,https://auto.ria.com/uk/auto_honda_cbr_600_28036365.html
Honda,CBR500,2017,5 100 $,Дніпро,500,https://auto.ria.com/uk/auto_honda_cbr_500_27062326.html
Honda,CBR600RR,2004,5 200 $,Київ,600,https://auto.ria.com/uk/auto_honda_cbr_600_28036365.html
Yamaha,FZ6FazerS2,2008,4 699 $,Хмельницький,600,https://auto.ria.com/uk/auto_yamaha_fz6_fazer_24689846.html
Yamaha,YZF,2015,4 550 $,Одеса,320,https://auto.ria.com/uk/auto_yamaha_yzf_27833680.html
Kawasaki,Ninja636ZX-6R,2005,4 300 $,Чорноморськ,636,https://auto.ria.com/uk/auto_kawasaki_ninja_636_zx_6r_29130299.html
Kawasaki,Ninja650R,2016,5 000 $,Одеса,650,https://auto.ria.com/uk/auto_kawasaki_ninja_650r_29226951.html
